1195	1795	3	19.45
16265	107	3	11.41
367	768	7	29.56
1476	106	23	39.14
1096	210	4	8.55
105	3209	8	8.5
288	142	19	10.12
821	241	9	34.18
1333	182	4	7.85
1209	321	3	9.23
598	120	17	7.68
102	1972	21	16.06
3097	118	7	10.73
484	232	8	19.46
1917	233	3	10.08
288	5115	10	100.72
9850	187	3	18.55
546	2643	3	17.52
319	5945	3	21.23
417	484	8	30.44
130	8184	3	9.69
250	189	10	8.09
3282	110	8	11.61
1618	212	3	7.14
8	10060	5	21.39
1449	105	15	8.69
936	422	4	16.69
490	323	5	12.1
5	6509	3	23.05
7109	132	4	14.36
4158	17571	3	47.77
622	1446	3	14.4
153	1978	4	7.24
3725	116	5	6.63
4838	163	3	10.51
151	663	9	9.94
343	152	20	27.01
263	8434	3	20.97
212	1742	3	7.48
120	834	17	16.15
154	2601	5	15.51
6278	361	3	21.12
580	120	25	23.63
1498	139	7	10.04
102	4546	9	9
11349	197	3	21.4
423	684	4	14.87
7159	111	5	12.18
450	261	5	8.88
251	1109	4	11.6
2869	2004	3	26.72
57	2968	5	9.87
828	526	18	132.33
5266	259	9	87.17
164	914	8	15.83
696	232	6	15.27
255	419	6	10.97
316	361	9	26.28
727	568	5	21.66
1836	16671	3	42.19
633	400	3	6.88
130	204	34	8.76
128	828	12	11.72
103	125	789	50.58
101	1415	26	13.3
3549	167	4	14.35
422	252	8	20.61
121	120	358	54.14
1834	4124	3	29.77
9162	121	4	14.63
1265	263	4	12.98
180	2525	7	30.56
337	241	7	11.45
5223	368	3	19.47
3546	16747	3	47.77
3619	116	5	6.63
655	13542	3	35.38
135	212	35	13.67
5335	138	3	7.46
119	16836	3	13.89
9	866	14	11.63
110	117	640	96.52
1724	448	3	13.66
106	1654	12	7.65
493	12694	4	44.94
837	561	3	10.81
775	874	3	13.37
971	1672	15	148.74
12613	106	3	6.7
6123	109	5	10.21
2032	222	3	9.3
564	494	4	12.54
530	139	19	26.52
103	8388	5	6.76
144	7991	4	17.65
5163	764	10	122.4
406	709	8	37.15
117	1320	14	17.5
617	271	8	26.67
171	136	53	14.96
2885	143	4	7.2
114	2576	7	7.57
17262	239	3	28.21
1368	374	6	30.41
262	378	10	26.01
18068	542	3	34.63
170	3012	4	13.17
168	139	56	21.79
8	821	16	8.2
8495	128	6	33.63
229	6550	4	27.55
4942	123	4	7.91
411	869	4	14.25
1277	568	4	19.94
4283	110	6	8.71
199	2461	3	8.88
231	12	187	57.93
10	1953	7	24.2
6873	170	5	30.7
136	1231	9	13.03
110	1519	11	9.47
7688	103	6	13.68
374	561	6	19.88
4621	101	11	18.99
1006	2231	3	20.42
118	6959	4	9.13
113	6105	5	11.97
2126	114	8	8.1
1513	313	3	10.52
115	1888	9	8.49
711	940	3	12.93
104	16012	3	7.94
148	1228	6	7.53
334	144	17	9.92
235	105	90	26.23
143	277	30	30.91
646	836	3	12.07
148	1873	5	8.05
465	12	81	27.61
402	554	3	6.95
132	8828	4	18.7
2446	181	4	12.48
433	1430	4	18.34
12	10467	5	8.05
4106	138	4	10.71
8	3828	7	13.51
259	8	49	14.47
739	253	6	17.48
4219	148	3	6.92
136	1878	9	21.22
2747	128	5	7.87
198	455	6	7.17
106	304	49	11.06
2034	137	7	13.31
9	8187	4	10.25
213	9356	3	20.07
1464	103	20	6.9
153	4251	3	8.23
4164	101	10	8.64
17246	135	3	17.83
397	905	12	70.33
